Dataset,Observations,Model,RÂ² Score,MAE,RMSE
All Properties,No outliers,LightGBM,0.715225501132214,53064.71423850434,72232.90920417494
All Properties,No outliers,XGBoost,0.7004097144377095,53326.02456754933,74088.09394580744
All Properties,No outliers,Random Forest,0.6902329665278892,54728.157631450806,75335.93050191442
All Properties,No outliers,Gradient Boosting,0.6547152211320137,59210.615130763676,79537.74524564733
All Properties,raw,LightGBM,0.7279178032947576,61836.24914880395,86091.02019797014
All Properties,raw,XGBoost,0.7173889114226264,61917.316374888585,87740.96177749617
All Properties,raw,Random Forest,0.7076947563161913,63465.05245695311,89233.12341871079
All Properties,PCA,LightGBM,0.564552278932284,66809.91666108795,89320.79285425207
All Properties,PCA,Random Forest,0.5628508737823024,65975.02604528816,89495.12227625914
All Properties,PCA,Gradient Boosting,0.5419589715840711,68938.26636888603,91608.70606877048
All Properties,PCA,XGBoost,0.5274619966761723,68715.97014246324,93047.1187144587
All Properties,No outliers,Ridge,0.5213888377306898,70594.1410562612,93643.14046100363
All Properties,No outliers,Lasso,0.5213888206768555,70594.13433968952,93643.14212934602
All Properties,No outliers,Linear,0.5213888206111745,70594.1324766871,93643.14213577146
All Properties,No outliers,ElasticNet,0.5204532314682793,70691.58114382022,93734.62425833048
All Properties,raw,Gradient Boosting,0.6733792098062983,69120.20219284721,94325.62777115245
All Properties,PCA,Ridge,0.5073408808901669,71811.58693960735,95007.48492145239
All Properties,PCA,Linear,0.5073408734806828,71811.61692684033,95007.48563589815
All Properties,PCA,Lasso,0.5073408730229306,71811.61467491578,95007.48568003606
All Properties,PCA,ElasticNet,0.5062002527763243,71888.23720104131,95117.40428740869
All Properties,No outliers,Decision Tree,0.41925001197379297,73362.78047505584,103152.35872537711
All Properties,raw,Ridge,0.5114767159749181,84541.63727870854,115358.7192296236
All Properties,raw,Lasso,0.5114766721125962,84541.55785960678,115358.72440839536
All Properties,raw,Linear,0.5114766719683166,84541.55706423176,115358.72442543028
All Properties,raw,ElasticNet,0.5107981472239838,84752.46076159552,115438.80922811528
All Properties,PCA,Decision Tree,0.1996323845609853,87160.22722646527,121095.86460678188
All Properties,raw,Decision Tree,0.4274371330259721,86043.71933416881,124887.61765070636
Only Apartments,No outliers,LightGBM,0.7540710352140622,45053.903332117035,62904.854753830965
Only Apartments,No outliers,XGBoost,0.7329972682127839,46105.54155644545,65544.63894337464
Only Apartments,No outliers,Random Forest,0.721193713380243,47265.228226868196,66977.75772124995
Only Apartments,raw,LightGBM,0.7715824449941371,48967.06271068177,70701.08926704478
Only Apartments,No outliers,Gradient Boosting,0.6884388723236066,51665.76319585012,70802.88539049806
Only Apartments,raw,XGBoost,0.7475683326753801,50556.12258017847,74324.72030015646
Only Apartments,raw,Random Forest,0.7430322781085008,51187.21993699108,74989.53365172223
Only Apartments,raw,Gradient Boosting,0.7095795242598975,56389.9128887566,79721.41194313923
Only Apartments,PCA,Random Forest,0.5515763056852487,61080.129869976394,84942.21842370396
Only Apartments,PCA,LightGBM,0.5352542138786129,63164.65960104928,86474.29965834534
Only Apartments,PCA,Gradient Boosting,0.49668566428530125,65922.34271182728,89990.97833931271
Only Apartments,PCA,XGBoost,0.49283284601251065,64340.07309279204,90334.75742978226
Only Apartments,No outliers,Ridge,0.47898975965346136,67461.57785146312,91559.29769239387
Only Apartments,No outliers,Linear,0.4789896470683367,67461.68554471868,91559.30758491957
Only Apartments,No outliers,Lasso,0.4789896459952726,67461.67189490054,91559.30767920657
Only Apartments,No outliers,ElasticNet,0.47792746051056445,67483.00368731782,91652.59128656443
Only Apartments,No outliers,Decision Tree,0.4688164856751422,62858.06070476562,92448.87210218278
Only Apartments,PCA,Ridge,0.4561167803644961,69354.1632961764,93547.49294181445
Only Apartments,PCA,Lasso,0.45611673310409373,69354.39296919933,93547.49700619068
Only Apartments,PCA,Linear,0.45611672379987434,69354.41049670814,93547.4978063499
Only Apartments,PCA,ElasticNet,0.45511734755896327,69289.28011921397,93633.40432712986
Only Apartments,raw,Decision Tree,0.5251392429035624,67298.19989939005,101939.97104915603
Only Apartments,raw,Ridge,0.4520028550367373,77456.94957878799,109509.17660611504
Only Apartments,raw,Lasso,0.4520026751765662,77456.96219267986,109509.19457731963
Only Apartments,raw,Linear,0.4520026513600085,77456.97887898043,109509.19695701376
Only Apartments,raw,ElasticNet,0.4512481274436678,77512.89265287398,109584.56126859362
Only Apartments,PCA,Decision Tree,0.20186908966277217,78354.94386147411,113322.56301915919
Only Houses,No outliers,LightGBM,0.6851984622390825,58788.2280923647,78711.55160267603
Only Houses,No outliers,Gradient Boosting,0.6595655936194391,61678.369450977196,81853.40947527369
Only Houses,No outliers,Random Forest,0.6521005344002715,61825.33550951012,82745.98531078661
Only Houses,No outliers,XGBoost,0.6430255541687435,61961.5416625158,83818.2549793855
Only Houses,PCA,LightGBM,0.6051231004007142,67064.8041518462,88155.80488502231
Only Houses,PCA,Gradient Boosting,0.5967675485382723,68022.79944065212,89083.60611293581
Only Houses,PCA,Random Forest,0.5902386921986063,67902.84096239967,89801.89981866971
Only Houses,No outliers,Ridge,0.5855244931240009,69246.4701683266,90316.99648957618
Only Houses,No outliers,Linear,0.5855244427838371,69246.45470678357,90317.0019743059
Only Houses,No outliers,Lasso,0.5855244420026546,69246.45642739195,90317.00205941834
Only Houses,No outliers,ElasticNet,0.585050047097418,69320.26497744807,90368.67419280886
Only Houses,PCA,Ridge,0.584854589593651,69283.47539162898,90389.9552603516
Only Houses,PCA,Linear,0.5848545561288279,69283.41069734324,90389.95890351343
Only Houses,PCA,Lasso,0.5848545554607951,69283.41495398892,90389.95897623905
Only Houses,PCA,ElasticNet,0.5835525873010753,69478.54986785038,90531.587319353
Only Houses,raw,LightGBM,0.695466083086101,69666.57580256317,94723.87051554538
Only Houses,PCA,XGBoost,0.5388463611046661,71855.30311933192,95267.08370811524
Only Houses,raw,Gradient Boosting,0.6662981540632261,73745.68759884912,99156.43539123188
Only Houses,raw,Random Forest,0.664958779955003,72996.62470745473,99355.2274696656
Only Houses,raw,XGBoost,0.6630917366490479,72200.84274987274,99631.67524656728
Only Houses,raw,Ridge,0.573649655565668,83935.91171337279,112079.17108569006
Only Houses,raw,Linear,0.5736496033004516,83935.73330433112,112079.1779554417
Only Houses,raw,Lasso,0.5736496032374148,83935.74009739236,112079.17796372727
Only Houses,raw,ElasticNet,0.5731457129442746,84181.15761896371,112145.38985590432
Only Houses,No outliers,Decision Tree,0.32838730324576215,84530.48303286798,114968.66802511938
Only Houses,PCA,Decision Tree,0.22979635723677405,91068.7056941849,123118.36376182546
Only Houses,raw,Decision Tree,0.35014238418243093,99464.82105950988,138372.79319371184
